RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
56,Oats Poha,203,Swati,15,5,20,2024-10-07,A healthier twist on the classic poha using oats.,oats_poha.jpg,Breakfast,Healthy,"1 cup|1/2 cup|1 tsp","c(""Oats"",""Onions"",""Turmeric"")",4.9,98,140,3,1,0,120,25,4,2,5,2,"2 servings","c(""Cook oats with vegetables and spices."")"
57,Ragi Dosa,204,Rahul,20,10,30,2024-10-07,Crispy dosa made from ragi flour.,ragi_dosa.jpg,Breakfast,Healthy,"1 cup|1/2 cup|1 tsp","c(""Ragi flour"",""Rice flour"",""Oil"")",4.7,90,130,2,0.5,0,150,22,3,0,4,4,"4 servings","c(""Make batter and cook dosa."")"
58,Vegetable Idli,205,Kiran,25,15,40,2024-10-07,Steamed idlis with mixed vegetables.,vegetable_idli.jpg,Breakfast,Healthy,"1 cup|1/2 cup|1 tsp","c(""Rice"",""Mixed vegetables"",""Oil"")",4.8,120,180,4,1,0,200,28,5,3,6,4,"4 servings","c(""Prepare batter and steam idlis with vegetables."")"
59,Multigrain Paratha,206,Sneha,20,15,35,2024-10-07,Flatbread made with multigrain flour and stuffed with vegetables.,multigrain_paratha.jpg,Breakfast,Healthy,"1 cup|1/2 cup|1 tsp","c(""Multigrain flour"",""Mixed vegetables"",""Oil"")",4.6,102,190,6,1,5,180,30,4,3,7,2,"2 servings","c(""Knead dough with vegetables and cook."")"
60,Besan Chilla,207,Nisha,15,10,25,2024-10-07,Savory gram flour pancakes with spices and vegetables.,besan_chilla.jpg,Breakfast,Healthy,"1 cup|1/2 cup|1 tsp","c(""Besan"",""Tomatoes"",""Cumin"")",4.9,87,150,4,0.5,0,170,18,4,2,7,4,"4 servings","c(""Prepare batter and cook into pancakes."")"
61,Quinoa Porridge,208,Arjun,20,5,25,2024-10-07,Nutritious porridge made from quinoa and milk.,quinoa_porridge.jpg,Breakfast,Healthy,"1 cup|1/2 cup|1 tsp","c(""Quinoa"",""Milk"",""Honey"")",4.8,95,200,4,1,0,80,30,5,10,6,2,"2 servings","c(""Boil quinoa in milk and sweeten with honey."")"
62,Vegetable Sandwich,209,Kavya,10,5,15,2024-10-07,Whole wheat sandwich with fresh vegetables.,vegetable_sandwich.jpg,Breakfast,Healthy,"2 slices|1/2 cup|1 tsp","c(""Whole wheat bread"",""Cucumber"",""Chutney"")",4.7,85,140,3,0.5,0,150,25,3,2,5,1,"1 serving","c(""Assemble sandwich with vegetables and chutney."")"
63,Fruit and Yogurt Bowl,210,Sriya,5,5,10,2024-10-07,A quick and refreshing bowl of fresh fruits and yogurt.,fruit_yogurt_bowl.jpg,Breakfast,Healthy,"1 cup|1/2 cup|1 tbsp","c(""Greek yogurt"",""Mixed fruits"",""Honey"")",4.9,70,120,2,0,0,50,18,3,10,5,1,"1 serving","c(""Mix fruits with yogurt and drizzle with honey."")"
64,Vegetable Pulao,211,Priya,25,15,40,2024-10-07,Aromatic rice dish with mixed vegetables.,vegetable_pulao.jpg,Lunch,Healthy,"1 cup|1/2 cup|1 tsp","c(""Basmati rice"",""Mixed vegetables"",""Garam masala"")",4.8,115,250,6,1,0,180,40,4,2,7,2,"2 servings","c(""Cook rice with vegetables and spices."")"
65,Rajma Chawal,212,Vinay,30,15,45,2024-10-07,Red kidney beans served with rice.,rajma_chawal.jpg,Lunch,Healthy,"1 cup|1/2 cup|1 tsp","c(""Rajma"",""Rice"",""Cumin"")",4.7,120,300,5,1,0,200,50,6,3,10,3,"3 servings","c(""Cook rajma and serve with rice."")"
